TransportDeliveryID,RequestID,Day,SupplyingLogNode,TransportType,TransportConfiguration,DeliveredAmount,DeliveredWeight,FuelTypeExpended,FuelAmountExpended,ConvoyProtectionFuelExpended,Distance,Sorties,TransportTimeSpent,SortieDurationPer,Scripted
-507,-726,8,"BSA SUPPLY POINT","Mtruck","Default",89280,71424,"FUEL",534.450942939047,0,59.3834381043385,9,21.4861488045387,2.38734986717096,False
-508,-727,8,"ANDONG SUPPLY DEPOT","Htruck","Default",79360,63488,"FUEL",812.093066323008,0,81.2093066323008,5,21.367926212318,4.27358524246359,False
-509,-728,8,"ANDONG SUPPLY DEPOT","Htruck","Default",48960,48960,"FUEL",921.214582838391,0,92.1214582838391,5,22.2960670759818,4.45921341519637,False
-510,-729,8,"ANDONG SUPPLY DEPOT","Htruck","Default",46240,46240,"FUEL",1008.65285342848,0,100.865285342848,5,23.5776719147584,4.71553438295167,False
-511,-730,8,"ANDONG SUPPLY DEPOT","Htruck","Default",79304,79304,"FUEL",1294.62556120228,0,92.4732543715916,7,34.4639203316081,4.92341719022972,False
-512,-731,8,"ANDONG SUPPLY DEPOT","Htruck","Default",45000,43200,"FUEL",552.728749703035,0,92.1214582838391,3,13.3776402455891,4.45921341519637,False
-513,-732,8,"BSA SUPPLY POINT","Mtruck","Default",26370,26370,"FUEL",255.256696579573,0,51.0513393159145,5,10.1535140724576,2.03070281449152,False
-514,-733,8,"BSA SUPPLY POINT","Mtruck","Default",63250,63250,"FUEL",593.834381043385,0,59.3834381043385,10,23.8734986717096,2.38734986717096,False
-515,-734,8,"ANDONG SUPPLY DEPOT","Htruck","Default",38000,36480,"FUEL",369.893017486366,0,92.4732543715916,2,9.84683438045945,4.92341719022972,False
-516,-734,8,"ANDONG SUPPLY DEPOT","CH-53K","Default",60000,57600,"FUEL",3038.160281845,0,75.9540070461251,15,8.2858916777591,0.552392778517273,False
-517,-736,8,"ANDONG SUPPLY DEPOT","Htruck","Default",11400,11400,"FUEL",162.418613264602,0,81.2093066323008,1,4.27358524246359,4.27358524246359,False
-518,-737,8,"BSA SUPPLY POINT","Mtruck","Default",46710,44841.6,"FUEL",296.917190521693,0,59.3834381043385,5,11.9367493358548,2.38734986717096,False
