TransportDeliveryID,ArcID
-688,"Yeongchon north"
-688,"Yeongchon south"
-688,"1-bc"
-688,"1-cd"
-688,"1-de"
-688,"1-ef"
-688,"Yangsan-55"
-688,"55-uv"
-689,"Yeongchon north"
-689,"Yeongchon south"
-689,"1-bc"
-689,"1-cd"
-689,"1-de"
-689,"1-ef"
-690,"Andong-55"
-690,"55-bc"
-690,"55-cd"
-690,"55-de"
-690,"55-ef"
-690,"55fg"
-690,"55-gh"
-690,"55-hj"
-690,"55-jk"
-690,"55-kl"
-690,"55-lm"
-690,"55 west of Daegu"
-690,"55 east of Daegu"
-690,"55-1"
-690,"1-ab"
-690,"1-bc"
-690,"1-cd"
-690,"1-de"
-690,"1-ef"
-690,"Yangsan-55"
-690,"55-uv"
-691,"Andong-55"
-691,"55-bc"
-691,"55-cd"
-691,"55-de"
-691,"55-ef"
-691,"55fg"
-691,"55-gh"
-691,"55-hj"
-691,"55-jk"
-691,"55-kl"
-691,"55-lm"
-691,"55 west of Daegu"
-691,"55 east of Daegu"
-691,"55-1"
-691,"1-ab"
-691,"1-bc"
-691,"1-cd"
-691,"1-de"
